Sample_Size,Classifier,Conf_Mtrx,Accuracy,Precision,Recall,F1_Score,ROC_AUC_Scr,CV_Score
1:01,XGBClassifier,"[[10280  2855]
 [ 2865 10471]]",0.784,0.786,0.785,0.785,0.784,0.783
1:01,AdaBoostClassifier,"[[10411  2724]
 [ 2981 10355]]",0.784,0.792,0.776,0.784,0.785,0.785
1:01,LGBMClassifier,"[[10229  2906]
 [ 2894 10442]]",0.781,0.782,0.783,0.783,0.781,0.782
1:01,VotingClassifier,"[[10337  2798]
 [ 2887 10449]]",0.785,0.789,0.784,0.786,0.785,0.787
1:01,StackingClassifier,"[[10336  2799]
 [ 2882 10454]]",0.785,0.789,0.784,0.786,0.785,0.787
1:02,XGBClassifier,"[[23294  3281]
 [ 4604  8528]]",0.801,0.722,0.649,0.684,0.763,0.797
1:02,AdaBoostClassifier,"[[23773  2802]
 [ 4968  8164]]",0.804,0.744,0.622,0.678,0.758,0.797
1:02,LGBMClassifier,"[[23755  2820]
 [ 5083  8049]]",0.801,0.741,0.613,0.671,0.753,0.794
1:02,VotingClassifier,"[[23538  3037]
 [ 4778  8354]]",0.803,0.733,0.636,0.681,0.761,0.799
1:02,StackingClassifier,"[[23516  3059]
 [ 4771  8361]]",0.803,0.732,0.637,0.681,0.761,0.799
1:03,XGBClassifier,"[[36534  3276]
 [ 6012  7120]]",0.825,0.685,0.542,0.605,0.730,0.820
1:03,AdaBoostClassifier,"[[37160  2650]
 [ 6372  6760]]",0.830,0.718,0.515,0.600,0.724,0.819
1:03,LGBMClassifier,"[[37323  2487]
 [ 6625  6507]]",0.828,0.723,0.496,0.588,0.717,0.816
1:03,VotingClassifier,"[[36984  2826]
 [ 6216  6916]]",0.829,0.710,0.527,0.605,0.728,0.821
1:03,StackingClassifier,"[[36929  2881]
 [ 6145  6987]]",0.830,0.708,0.532,0.608,0.730,0.821
